city,hu
Braşov,Brassó
Sibiu,Szeben
Cluj-Napoca,Kolozsvár
Bratislava,Pozsony
Levoča,Lőcse
Alba Iulia,Gyulafehérvár
Wien,Bécs
Košice,Kassa
Trnava,Nagyszombat
Bardejov,Bártfa
Criș,Keresd
Loretto,Lorettom
Oradea,Nagyvárad
Prešov,Eperjes
Sebeş,Szászsebes
Trenčín,Trencsén
Şumuleu,Csíksomlyó
Žilina,Zsolna
Târgu-Mureş,Marosvásárhely
Plavecké Podhradie,Detrekőváralja
Šintava,Sempte
Banská Bystrica,Besztercebánya
Čakovec,Csáktornya
Hlohovec,Galgóc
Senica,Szenice
Presaca Ampoiului,Preszáka
Orăştie,Szászváros
Güssing,Németújvár
Eberau,Monyorókerék
Deutsch Schützen-Eisenberg,Németlövő
Deutschkreutz,Keresztúr
Wimpassing an der Leitha,Vimpác
Nedelišće,Drávavásárhely